"date","bigGat","pinkLine","whiteDashed"
2018-09-02,"Побутова техніка",1.08,1.16
2018-09-17,"Побутова техніка",1.13,1.21
2018-09-23,"Побутова техніка",1.15,1.27
2018-10-07,"Побутова техніка",1.12,1.23
2018-10-16,"Побутова техніка",1.12,1.24
2018-10-30,"Побутова техніка",1.14,1.26
2018-11-04,"Побутова техніка",1.16,1.29
2018-11-11,"Побутова техніка",1.13,1.24
2018-11-17,"Побутова техніка",1.12,1.24
2018-05-04,"Побутова техніка",1.12,NA
2018-05-15,"Побутова техніка",1.12,NA
2018-05-30,"Побутова техніка",1.12,NA
2018-06-23,"Побутова техніка",1.11,1.17
2018-07-01,"Побутова техніка",1.11,1.15
2018-07-08,"Побутова техніка",1.12,1.2
2018-07-16,"Побутова техніка",1.14,1.23
2018-07-26,"Побутова техніка",1.11,1.15
2018-08-06,"Побутова техніка",1.13,1.17
2018-08-13,"Побутова техніка",1.14,1.23
2018-08-21,"Побутова техніка",1.12,1.16
2018-09-12,"Побутова техніка",1.17,1.32
2018-05-03,"Телефони, аксесуари",1.22,NA
2018-05-15,"Телефони, аксесуари",1.2,NA
2018-05-30,"Телефони, аксесуари",1.19,NA
2018-06-23,"Телефони, аксесуари",1.22,1.23
2018-07-01,"Телефони, аксесуари",1.22,1.13
2018-07-08,"Телефони, аксесуари",1.22,1.22
2018-07-16,"Телефони, аксесуари",1.23,1.4
2018-07-26,"Телефони, аксесуари",1.19,1.28
2018-08-06,"Телефони, аксесуари",1.19,1.25
2018-08-13,"Телефони, аксесуари",1.18,1.36
2018-08-21,"Телефони, аксесуари",1.17,1.15
2018-09-02,"Телефони, аксесуари",1.15,1.19
2018-09-12,"Телефони, аксесуари",1.18,1.26
2018-09-17,"Телефони, аксесуари",1.16,1.06
2018-09-23,"Телефони, аксесуари",1.14,1.28
2018-10-07,"Телефони, аксесуари",1.13,1.11
2018-10-15,"Телефони, аксесуари",1.15,1.3
2018-10-30,"Телефони, аксесуари",1.12,1.14
2018-11-04,"Телефони, аксесуари",1.14,1.32
2018-11-11,"Телефони, аксесуари",1.13,1.3
2018-11-17,"Телефони, аксесуари",1.13,1.28
2018-05-04,"Телевізори",1.16,NA
2018-05-15,"Телевізори",1.17,NA
2018-05-30,"Телевізори",1.14,NA
2018-06-23,"Телевізори",1.13,1.26
2018-07-01,"Телевізори",1.12,1.27
2018-07-08,"Телевізори",1.11,1.24
2018-07-16,"Телевізори",1.11,1.23
2018-07-26,"Телевізори",1.1,1.22
2018-08-06,"Телевізори",1.1,1.25
2018-08-13,"Телевізори",1.11,1.28
2018-08-21,"Телевізори",1.09,1.27
2018-09-02,"Телевізори",1.09,1.22
2018-09-12,"Телевізори",1.11,1.28
2018-09-17,"Телевізори",1.09,1.24
2018-09-23,"Телевізори",1.12,1.25
2018-10-07,"Телевізори",1.08,1.16
2018-10-15,"Телевізори",1.12,1.27
2018-10-30,"Телевізори",1.06,1.21
2018-11-04,"Телевізори",1.08,1.26
2018-11-11,"Телевізори",1.05,1.23
2018-11-17,"Телевізори",1.06,1.32
2018-05-03,"Ноутбуки, планшети",1.04,NA
2018-05-15,"Ноутбуки, планшети",1.03,NA
2018-05-30,"Ноутбуки, планшети",1.02,NA
2018-06-23,"Ноутбуки, планшети",1.04,1.25
2018-07-01,"Ноутбуки, планшети",1.02,1.04
2018-07-08,"Ноутбуки, планшети",1.01,1.06
2018-07-16,"Ноутбуки, планшети",1.04,1.08
2018-07-26,"Ноутбуки, планшети",1,1.05
2018-08-06,"Ноутбуки, планшети",1.02,1.07
2018-08-13,"Ноутбуки, планшети",1.04,1.08
2018-08-21,"Ноутбуки, планшети",1,1.04
2018-09-02,"Ноутбуки, планшети",1.01,1.04
2018-09-12,"Ноутбуки, планшети",1.07,1.09
2018-09-17,"Ноутбуки, планшети",1.03,1.06
2018-09-23,"Ноутбуки, планшети",1.08,1.09
2018-10-07,"Ноутбуки, планшети",1.03,1.04
2018-10-15,"Ноутбуки, планшети",1.08,1.11
2018-10-30,"Ноутбуки, планшети",1.03,1.09
2018-11-04,"Ноутбуки, планшети",1.07,1.14
2018-11-11,"Ноутбуки, планшети",1.04,1.1
2018-11-17,"Ноутбуки, планшети",1.03,1.11
2018-05-10,"Телефони, аксесуари",1.22,NA
2018-05-04,"Телефони, аксесуари",1.29,NA
2018-05-10,"Ноутбуки, планшети",0.97,NA
2018-05-07,"Одяг",1.33,6.7
2018-05-15,"Одяг",1.31,4.86
2018-05-18,"Одяг",1.21,5.31
2018-06-23,"Одяг",1.15,5.27
2018-07-08,"Одяг",1.22,4.53
2018-07-26,"Одяг",1.2,4.68
2018-07-16,"Одяг",1.17,5.24
2018-10-08,"Одяг",1.11,4.46
2018-11-04,"Одяг",1.06,3.72
2018-08-13,"Одяг",1.25,5.3
2018-09-02,"Одяг",1.19,4.01
2018-08-06,"Одяг",1.07,3.19
2018-08-21,"Одяг",1.21,4.59
2018-09-17,"Одяг",1.2,4.48
2018-09-28,"Одяг",1.16,3.74
2018-10-31,"Одяг",1.08,4.34
2018-11-11,"Одяг",1.11,4.27
2018-11-17,"Одяг",1.08,4.51
2018-07-01,"Одяг",1.18,4.33
2018-10-30,"Одяг",1.07,3.78
2018-05-07,"Сумки",0.99,3.85
2018-05-15,"Сумки",0.99,4.02
2018-05-18,"Сумки",1.03,3.68
2018-06-23,"Сумки",1.01,3.63
2018-07-01,"Сумки",1.02,3.6
2018-07-08,"Сумки",1.02,3.63
2018-07-16,"Сумки",1.01,3.62
2018-07-26,"Сумки",0.98,3.39
2018-08-13,"Сумки",0.99,3.66
2018-08-21,"Сумки",1.01,3.73
2018-09-02,"Сумки",1.06,3.83
2018-09-28,"Сумки",1.07,3.8
2018-10-30,"Сумки",1.02,3.83
2018-10-31,"Сумки",1.05,3.7
2018-11-04,"Сумки",1.04,3.77
2018-11-11,"Сумки",1.05,3.69
2018-10-08,"Сумки",1.03,3.38
2018-05-14,"Одяг",0.82,NA
2018-09-17,"Сумки",1,1.65
2018-08-06,"Сумки",0.97,1.39
2018-07-29,"Побутова техніка",1.18,1.27
2018-08-07,"Побутова техніка",1.23,1.37
2018-08-25,"Побутова техніка",1.18,1.31
2018-09-05,"Побутова техніка",1.19,1.33
2018-10-06,"Побутова техніка",1.19,1.33
2018-10-15,"Побутова техніка",1.18,1.32
2018-10-23,"Побутова техніка",1.2,1.33
2018-10-29,"Побутова техніка",1.2,1.33
2018-11-12,"Побутова техніка",1.22,1.32
2018-11-18,"Побутова техніка",1.21,1.34
2018-07-29,"Ноутбуки, планшети",1.13,1.23
2018-08-25,"Ноутбуки, планшети",1.14,1.22
2018-09-05,"Ноутбуки, планшети",1.18,1.19
2018-10-06,"Ноутбуки, планшети",1.18,1.22
2018-10-23,"Ноутбуки, планшети",1.18,1.2
2018-10-29,"Ноутбуки, планшети",1.17,1.25
2018-11-12,"Ноутбуки, планшети",1.16,1.27
2018-11-18,"Ноутбуки, планшети",1.16,1.26
2018-07-29,"Телевізори",1.25,1.33
2018-08-05,"Телевізори",1.22,1.33
2018-09-05,"Телевізори",1.26,1.34
2018-10-06,"Телевізори",1.24,1.34
2018-10-23,"Телевізори",1.21,1.31
2018-10-29,"Телевізори",1.2,1.32
2018-11-12,"Телевізори",1.18,1.33
2018-11-18,"Телевізори",1.16,1.33
2018-07-29,"Телефони, аксесуари",1.29,1.52
2018-08-05,"Телефони, аксесуари",1.28,1.43
2018-08-25,"Телефони, аксесуари",1.25,1.44
2018-09-05,"Телефони, аксесуари",1.22,1.42
2018-10-06,"Телефони, аксесуари",1.2,1.38
2018-10-23,"Телефони, аксесуари",1.15,1.31
2018-10-29,"Телефони, аксесуари",1.14,1.23
2018-11-12,"Телефони, аксесуари",1.16,1.33
2018-11-18,"Телефони, аксесуари",1.15,1.32
2018-11-05,"Побутова техніка",1.22,1.39
2018-08-25,"Телевізори",1.25,1.29
2018-08-05,"Ноутбуки, планшети",1.14,1.29
2018-11-22,"Побутова техніка",1,1.23
2018-11-22,"Телефони, аксесуари",1,1.22
2018-11-22,"Телевізори",1,1.25
2018-11-22,"Ноутбуки, планшети",1,1.12
2018-11-23,"Одяг",1,4.86
2018-11-23,"Сумки",1,3.72
2018-11-23,"Побутова техніка",1,1.26
2018-11-23,"Ноутбуки, планшети",1,1.2
2018-11-23,"Телевізори",1,1.3
2018-11-23,"Телефони, аксесуари",1,1.19
