"date","product","pinkLine","whiteDashed"
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-10-01","Велика побутова техніка",1,1.12
"2018-10-01","Велика побутова техніка",1,1.12
"2018-10-01","Велика побутова техніка",1,1.12
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Велика побутова техніка",1,1.14
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-06-01","Велика побутова техніка",0.98,1.05
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-06-01","Велика побутова техніка",0.98,1.05
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-06-01","Телефони, аксесуари",1.06,1.16
"2018-07-01","Телефони, аксесуари",1.04,1.18
"2018-07-01","Телефони, аксесуари",1.04,1.18
"2018-07-01","Телефони, аксесуари",1.04,1.18
"2018-07-01","Телефони, аксесуари",1.04,1.18
"2018-08-01","Телефони, аксесуари",1.02,1.19
"2018-08-01","Телефони, аксесуари",1.02,1.19
"2018-08-01","Телефони, аксесуари",1.02,1.19
"2018-09-01","Телефони, аксесуари",1.02,1.16
"2018-09-01","Телефони, аксесуари",1.02,1.16
"2018-09-01","Телефони, аксесуари",1.02,1.16
"2018-09-01","Телефони, аксесуари",1.02,1.16
"2018-10-01","Телефони, аксесуари",1.01,1.13
"2018-10-01","Телефони, аксесуари",1.01,1.13
"2018-10-01","Телефони, аксесуари",1.01,1.13
"2018-11-01","Телефони, аксесуари",1,1.14
"2018-11-01","Телефони, аксесуари",1,1.14
"2018-11-01","Телефони, аксесуари",1,1.14
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-10-01","Велика побутова техніка",1,1.12
"2018-10-01","Велика побутова техніка",1,1.12
"2018-10-01","Велика побутова техніка",1,1.12
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-06-01","Дрібна побутова техніка",1,1.09
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-05-01","Телевізори",1.08,NA
"2018-05-01","Телевізори",1.08,NA
"2018-05-01","Телевізори",1.08,NA
"2018-06-01","Телевізори",1.07,1.18
"2018-07-01","Телевізори",1.05,1.2
"2018-07-01","Телевізори",1.05,1.2
"2018-07-01","Телевізори",1.05,1.2
"2018-07-01","Телевізори",1.05,1.2
"2018-08-01","Телевізори",1.04,1.21
"2018-08-01","Телевізори",1.04,1.21
"2018-08-01","Телевізори",1.04,1.21
"2018-09-01","Телевізори",1.04,1.21
"2018-09-01","Телевізори",1.04,1.21
"2018-09-01","Телевізори",1.04,1.21
"2018-09-01","Телевізори",1.04,1.21
"2018-10-01","Телевізори",1.03,1.18
"2018-10-01","Телевізори",1.03,1.18
"2018-10-01","Телевізори",1.03,1.18
"2018-11-01","Телевізори",1.01,1.14
"2018-11-01","Телевізори",1.01,1.14
"2018-11-01","Телевізори",1.01,1.14
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-06-01","Велика побутова техніка",0.98,1.05
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-10-01","Велика побутова техніка",1,1.12
"2018-10-01","Велика побутова техніка",1,1.12
"2018-10-01","Велика побутова техніка",1,1.12
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Велика побутова техніка",1,1.14
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-06-01","Дрібна побутова техніка",1,1.09
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-06-01","Дрібна побутова техніка",1,1.09
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-06-01","Велика побутова техніка",0.98,1.05
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-10-01","Велика побутова техніка",1,1.12
"2018-10-01","Велика побутова техніка",1,1.12
"2018-10-01","Велика побутова техніка",1,1.12
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Велика побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-06-01","Дрібна побутова техніка",1,1.09
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-06-01","Дрібна побутова техніка",1,1.09
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-07-01","Дрібна побутова техніка",1,1.14
"2018-06-01","Велика побутова техніка",0.98,1.05
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-07-01","Велика побутова техніка",0.98,1.08
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-08-01","Велика побутова техніка",0.99,1.09
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-10-01","Велика побутова техніка",1,1.12
"2018-10-01","Велика побутова техніка",1,1.12
"2018-10-01","Велика побутова техніка",1,1.12
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Велика побутова техніка",1,1.14
"2018-11-01","Велика побутова техніка",1,1.14
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-09-01","Дрібна побутова техніка",1.01,1.19
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-10-01","Дрібна побутова техніка",1,1.21
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-11-01","Дрібна побутова техніка",1.03,1.24
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-06-01","Телефони, аксесуари",1.06,1.16
"2018-07-01","Телефони, аксесуари",1.04,1.18
"2018-07-01","Телефони, аксесуари",1.04,1.18
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-09-01","Велика побутова техніка",1,1.1
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-05-01","Телефони, аксесуари",1.07,NA
"2018-05-01","Ноутбуки, планшети",1,NA
"2018-05-01","Ноутбуки, планшети",1,NA
"2018-05-01","Ноутбуки, планшети",1,NA
"2018-06-01","Ноутбуки, планшети",0.99,1.25
"2018-07-01","Ноутбуки, планшети",0.98,1.09
"2018-07-01","Ноутбуки, планшети",0.98,1.09
"2018-07-01","Ноутбуки, планшети",0.98,1.09
"2018-07-01","Ноутбуки, планшети",0.98,1.09
"2018-08-01","Ноутбуки, планшети",0.99,1.1
"2018-08-01","Ноутбуки, планшети",0.99,1.1
"2018-08-01","Ноутбуки, планшети",0.99,1.1
"2018-09-01","Ноутбуки, планшети",1.01,1.1
"2018-09-01","Ноутбуки, планшети",1.01,1.1
"2018-09-01","Ноутбуки, планшети",1.01,1.1
"2018-09-01","Ноутбуки, планшети",1.01,1.1
"2018-10-01","Ноутбуки, планшети",1.01,1.09
"2018-10-01","Ноутбуки, планшети",1.01,1.09
"2018-10-01","Ноутбуки, планшети",1.01,1.09
"2018-11-01","Ноутбуки, планшети",1,1.09
